text,status
I feel sad and lonely,Depression
Nothing makes sense anymore,Depression
I am tired of everything,Depression
I feel empty and hopeless,Depression
I have no motivation to do anything,Depression
I feel worthless and numb,Depression
I cry almost every day,Depression
I cannot focus properly,Depression
I don’t feel like talking to anyone,Depression
I have trouble sleeping and feel low,Depression
I feel stressed and overwhelmed,Anxiety
I am anxious about everything,Anxiety
I feel nervous all the time,Anxiety
My heart races and I worry a lot,Anxiety
I cannot calm myself down,Anxiety
I panic when things go wrong,Anxiety
I fear something bad will happen,Anxiety
I overthink day and night,Anxiety
I feel restless and uneasy,Anxiety
I can't control my worries,Anxiety
I feel angry and irritated,Episodic Anger
I lose my temper quickly,Episodic Anger
I get irritated by small things,Episodic Anger
I feel like shouting at everyone,Episodic Anger
I cannot control my anger,Episodic Anger
I feel bored and uninterested,Apathy
Everything feels dull,Apathy
I have no energy to do anything,Apathy
I don't enjoy things anymore,Apathy
I feel emotionally blank,Apathy
I feel good and relaxed,Positive
I am happy with life right now,Positive
I feel calm and peaceful,Positive
I am grateful and in a good mood,Positive
I feel productive and motivated,Positive
I feel energetic today,Positive
I feel confident and focused,Positive
I am excited about everything,Positive
I am emotionally stable today,Positive
Things are going well,Positive
I feel confused and unsure,Uncertain
I don’t know how to feel,Uncertain
My emotions are mixed,Uncertain
I feel lost and not sure what to do,Uncertain
I feel mentally stuck,Uncertain
I am unable to decide anything,Uncertain
My feelings keep changing quickly,Uncertain
I feel distracted and unfocused,Uncertain
I am overwhelmed with mixed feelings,Uncertain
I feel mentally blank sometimes,Uncertain
